,Name,Country,MMSI,Type,Size,DWT,Year,Area
68,KIKKI C,Portugal,255806480,General Cargo,1590,6750,2011,North Atlantic Ocean
69,CROWN FORTUNE,Singapore,565919000,Oil Products Tanker,1200,2984,2009,Singapore Strait
70,XING SHUN,Hong Kong,477502000,Bulk Carrier,4602,27860,1995,Eastern China Sea
71,ELBSUN,Portugal,255806370,Container Ship,3243,11000,2012,Gulf of Finland
72,DENEB,Germany,211222290,Research/Survey Vessel,624,170,1994,Baltic Sea
73,CALIDA,Malta,256380000,Crude Oil Tanker,10956,115812,2012,English Channel
74,MSC ATHENS,Malta,256858000,Container Ship,14400,110853,2013,North Sea
75,MANUEL LAURA,United Kingdom,235021707,Fishing Vessel,240,194,2004,North Atlantic Ocean
76,GRAND BANKS,Namibia,659254000,Mining Vessel,2440,6648,1972,South Atlantic Ocean
77,CONGO RIVER,Luxembourg,253688000,Trailing Suction Hopper Dredger,6308,34674,2011,Yellow Sea
78,CHRISTOS XXXII,Greece,239886300,Offshore Supply Ship,583,721,1967,Aegean Sea
79,PIONNIER,France,228382600,Anchor Handling Vessel,1173,2195,2002,Mediterranean Sea - Western Basin
80,BALTIC PRINCESS,Finland,230639000,Ro-Ro/Passenger Ship,7208,6287,2008,Gulf of Bothnia
81,SVITZER GAIA,Faroe Is,231846000,Tug,384,349,2012,Kattegat
82,MAERSK SEMARANG,Liberia,636092986,Container Ship,14608,108447,2007,North Pacific Ocean
83,ELI A,Liberia,636021316,Container Ship,2948,11403,2005,Irish Sea and St. George's Channel
84,SMALAND,Portugal,255806290,General Cargo,1785,7707,2004,Baltic Sea
85,PANORMITIS,Greece,241679000,General Cargo,935,1230,1985,Aegean Sea
86,SVITZER CECILIA,United Kingdom,232003119,Tug,330,205,1991,North Sea
87,HADDOCK,Liberia,636019762,General Cargo,3552,13827,2005,Singapore Strait
88,GEESKE,Portugal,255806055,Container Ship,3528,13727,2005,Balearic Sea
89,HYDRA,Belize,312139000,Suction Dredger,750,1400,1975,North Sea
90,ANDREA,Gibraltar,236481000,Container Ship,3082,11285,2005,Skaggerak
91,STELLA ORION,Netherlands,246553000,Oil/Chemical Tanker,1664,4999,2004,North Sea
