,Name,Country,MMSI,Type,Size,DWT,Year,Area
302,STENA NAUTICA,Sweden,265859000,Ro-Ro/Passenger Ship,3264,3676,1986,Kattegat
303,KRONOS,Faroe Is,231048000,Hopper Dredger,480,711,1964,Kattegat
304,RACER,Togo,671729000,General Cargo,836,871,1988,Japan Sea
305,TANKSKAR,Sweden,265550210,Tanker,296,333,1955,Kattegat
306,NS HELSE,Panama,357305000,General Cargo,880,2378,1992,Tyrrhenian Sea
307,EBRU,Russia,273335780,Oil/Chemical Tanker,1302,3510,2004,Gulf of Finland
308,BLUE CIMENT 3,Liberia,636020381,Cement Carrier,2640,15053,2010,Aegean Sea
309,BUMBLEBEE,Marshall Is,538008875,Bulk Carrier,6080,55628,2011,North Sea
310,STADIONGRACHT,Netherlands,246466000,General Cargo,4300,21250,2000,North Sea
311,MSC FIAMMETTA,Panama,372843000,Container Ship,11080,73355,2008,North Atlantic Ocean
312,SAIPEM 7000,Bahamas,309461000,Pipe Layer Platform,17640,100,1987,North Sea
313,SVEALAND,Norway,259119000,Pallet Carrier,966,1700,2008,North Sea
314,SINO STAR,Hong Kong,477642800,Oil/Chemical Tanker,5856,46219,2003,Persian Gulf
315,NEPTUNE THALASSA,Malta,215602000,Vehicles Carrier,4760,11253,2014,Balearic Sea
316,ILE D'AIX,France,228018600,Cable Layer,3344,8373,1992,North Sea
317,RAMON MARGALEF,Spain,224511000,Research/Survey Vessel,506,230,2011,Bay of Biscay
318,RIG,Malta,215818000,General Cargo,1131,3200,1989,North Sea
319,MEGA ANDREA,Italy,247356500,Ro-Ro/Passenger Ship,4760,3720,1986,Mediterranean Sea - Western Basin
320,INES CORRADO,Bahamas,311053600,Bulk Carrier,7328,81272,2012,Aegean Sea
321,EIDSVAAG VEGA,Norway,257808000,General Cargo,845,3704,2007,Norwegian Sea
322,PROMISE,Netherlands,245959000,General Cargo,1666,6500,2008,North Sea
323,ARGONAUT,Denmark,219461000,Suction Dredger,963,600,1960,Kattegat
324,FOX CHALLENGER,Norway,257785500,Tug,300,50,2007,North Sea
325,MERITA,Portugal,255805880,General Cargo,1584,4496,1985,Kattegat
326,FYKAN,Norway,259681000,Ro-Ro/Passenger Ship,560,459,1993,Norwegian Sea
327,SKULBAREN,Norway,259225000,Fishing Vessel,304,1,2007,Norwegian Sea
328,STEN HIDRA,Norway,258751000,Oil/Chemical Tanker,3312,16670,2007,North Sea
329,SIMRAD ECHO,Norway,258584000,Multi Purpose Offshore Vessel,216,20,1970,Skaggerak
330,TRANSPORTER 2,Germany,211226450,Waste Disposal Vessel,273,296,1987,North Sea
331,EMERALD INDAH,Singapore,564749000,Bulk Carrier,8208,77734,1998,Eastern China Sea
332,JUNO,Bahamas,311033600,Bulk Carrier,4536,29707,2011,North Atlantic Ocean
333,PELAGIC EXPRESS,Panama,372804000,General Cargo,1053,2639,2008,North Atlantic Ocean
334,KRISTIN,Antigua Barbuda,305486000,General Cargo,1632,4139,1986,Baltic Sea
335,PATUXENT,USA,367371830,Pusher Tug,363,200,2009,North Atlantic Ocean
336,SEABRAVERY,Malta,215782000,Crude Oil Tanker,10248,105042,2005,Gulf of Finland
337,ULYSSES,Cyprus,209952000,Ro-Ro/Passenger Ship,7344,9665,2001,Irish Sea and St. George's Channel
338,EUROPALINK,Finland,230699000,Ro-Ro/Passenger Ship,6420,9653,2007,Gulf of Bothnia
339,TUG RESPONSE,USA,366866930,Tug,560,408,2002,The Coastal Waters of Southeast Alaska and British Columbia
340,CARL W,Germany,211178650,Bunkering Tanker,266,288,1964,North Sea
341,BERGE LYNGOR,Panama,372960000,Bulk Carrier,15000,206312,2009,Indian Ocean
342,SILJA SYMPHONY,Sweden,265004000,Ro-Ro/Passenger Ship,6496,5340,1991,Gulf of Finland
343,GAMBE D AMFARD,France,228267600,Grab Hopper Dredger,840,1474,2007,English Channel
344,COTES DE BRETAGNE,France,227003850,Suction Hopper Dredger,825,2400,1998,Bay of Biscay
345,SIKINOS,Malta,256462000,Oil Products Tanker,1440,4595,2011,North Sea
346,ERHAN ARAZ,Turkey,271000388,General Cargo,1246,3784,1986,Sea of Marmara
347,BESKIDY,Liberia,636015817,Bulk Carrier,7328,82138,2013,Sea of Marmara
348,GREAT SAILOR,Vietnam,574002100,Chemical Tanker,2700,15389,1999,Singapore Strait
349,KING M,Panama,374560000,General Cargo,5096,32809,2012,Aegean Sea
350,BIANCA AMORETTI,Italy,247084400,Oil/Chemical Tanker,4400,29524,2003,Tyrrhenian Sea
351,ENERGETIC,Singapore,566007000,Oil Products Tanker,1615,6500,2011,Singapore Strait
352,YASNYY,Russia,273428510,Anchor Handling Vessel,1296,1329,1985,Barentsz Sea
353,DONGBANG SAPPHIRE,Korea,440103010,General Cargo,1380,4225,1996,Yellow Sea
354,TRANSUND,Malta,249863000,General Cargo,3146,16612,2002,Gulf of Finland
355,GLOMAR BALTIC,Panama,373857000,Standby Safety Vessel,288,608,1974,North Sea
356,KETTER,Malta,229344000,General Cargo,1235,5050,2000,Skaggerak
357,WALTHER HERWIG III,Germany,211215500,Fishery Research Vessel,896,561,1993,North Sea
358,MINERVA VIRGO,Greece,240730000,Oil/Chemical Tanker,5856,50921,2006,Gulf of Finland
359,BUMBLEBEE,Marshall Is,538008875,Bulk Carrier,6080,55628,2011,North Sea
360,SAETTA,Marshall Is,538008212,Crude Oil Tanker,10248,107023,2009,Skaggerak
361,RESOLVE PIONEER,USA,367303490,Pollution Control Vessel,756,960,1978,Bering Sea
362,SVEN D,Netherlands,244850970,Container Ship,2982,9604,2005,North Sea
363,SUSANNE A,Denmark,219012073,Ro-Ro/Passenger Ship,810,200,1969,Kattegat
364,NCC NASMA,Saudi Arabia,403515001,Oil/Chemical Tanker,5856,45550,2011,North Sea
365,PVT  DIAMOND,Panama,370135000,Bulk Carrier,6080,55623,2011,Japan Sea
366,LADY ANNEKE,Netherlands,246855000,General Cargo,1144,3718,2012,Baltic Sea
367,CELANDINE,Malta,249436000,Ro-Ro Cargo,4050,9415,2000,North Sea
368,ZENITH VOLOU,Greece,239945800,General Cargo,693,1591,1983,Aegean Sea
369,POLYBOTES,Belgium,205396000,Inland Ro-Ro Cargo Ship,1320,1150,2004,North Sea
370,CORAL PATULA,Netherlands,244870429,Lpg Tanker,2300,8571,2009,North Sea
371,ULYSSES,Cyprus,209952000,Ro-Ro/Passenger Ship,7344,9665,2001,Irish Sea and St. George's Channel
372,SEABRAVERY,Malta,215782000,Crude Oil Tanker,10248,105042,2005,Gulf of Finland
373,TUG RESPONSE,USA,366866930,Tug,560,408,2002,The Coastal Waters of Southeast Alaska and British Columbia
374,ARCTICA,Russia,273298600,Factory Trawler,2299,3372,1990,Barentsz Sea
375,SILJA SYMPHONY,Sweden,265004000,Ro-Ro/Passenger Ship,6496,5340,1991,Gulf of Finland
376,F/V WLA310,Poland,261004850,Trawler,144,126,1989,Baltic Sea
377,GUARDIANS,Panama,354409000,Oil/Chemical Tanker,1696,5529,1998,Bay of Biscay
378,MICHELANGELO TRADER,Malta,248893000,General Cargo,3234,12890,2004,Caribbean Sea
379,SPIRIT OF SINGAPORE,United Kingdom,232013524,Container Ship,8128,53093,2007,Singapore Strait
380,DUBLIN SWIFT,Cyprus,209192000,Ro-Ro/Passenger Ship,2828,750,2001,Irish Sea and St. George's Channel
381,CARL W,Germany,211178650,Bunkering Tanker,266,288,1964,North Sea
382,HACI RUSTU K,Turkey,271002018,General Cargo,1040,2970,1987,Sea of Marmara
383,DURO,Italy,247209600,Tug,310,265,2007,Ionian Sea
384,DANUBE HIGHWAY,Bahamas,308803000,Vehicles Carrier,3700,7788,2006,Kattegat
385,BREB BALTIYSK,Antigua Barbuda,304407000,General Cargo,1300,4419,2002,Baltic Sea
386,SUPERSPEED 1,Norway,259490000,Ro-Ro/Passenger Ship,5512,5400,2008,Skaggerak
387,FINNSKY,Finland,230622000,Ro-Ro Cargo,5668,11029,2012,Skaggerak
388,RIX PACIFIC,Cyprus,209332000,General Cargo,1080,3210,1998,Baltic Sea
389,THETIS,Netherlands,245354000,Tug,348,237,2003,North Sea
390,NYLAND,Cyprus,210438000,General Cargo,2057,6777,2009,Baltic Sea
391,RANGER,Cyprus,209696000,Container Ship,3102,9288,2005,North Sea
392,BUMBLEBEE,Marshall Is,538008875,Bulk Carrier,6080,55628,2011,North Sea
393,SIKINOS,Malta,256462000,Oil Products Tanker,1440,4595,2011,North Sea
394,SYLT EXPRESS,Cyprus,209392000,Ro-Ro/Passenger Ship,1408,660,2005,North Sea
395,EVER LIVEN,Taiwan,416481000,Container Ship,15410,104409,2013,Eastern China Sea
396,TOSTE R,Denmark,219000615,Trailing Suction Hopper Dredger,495,632,1992,Baltic Sea
397,FRISIA IV,Germany,211364460,Ro-Ro/Passenger Ship,994,326,2002,North Sea
398,SCHLESWIG-HOLSTEIN,Germany,211190000,Ro-Ro/Passenger Ship,3384,2904,1997,Baltic Sea
399,BITUMEN PRINCESS,Gabon,626073000,Asphalt/Bitumen Tanker,1819,5934,1995,Gulf of Oman
400,RESOLVE PIONEER,USA,367303490,Pollution Control Vessel,756,960,1978,Bering Sea
401,WILSON SAGA,Norway,257077520,General Cargo,1695,6489,1998,North Sea
402,ALONDRA,Denmark,219028212,General Cargo,1552,4550,1995,Mediterranean Sea - Eastern Basin
403,METAMAUCO,Italy,247290200,Ro-Ro/Passenger Ship,885,500,1998,Adriatic Sea
404,PVT  DIAMOND,Panama,370135000,Bulk Carrier,6080,55623,2011,Japan Sea
405,ROAZ,Portugal,255929000,Cement Carrier,1066,3500,1991,North Atlantic Ocean
406,OCEAN CHALLENGER,Ireland,250004312,Tug,363,430,1994,North Atlantic Ocean
407,SURATCHANYA,Thailand,567059800,Oil Products Tanker,1105,3367,1993,Gulf of Thailand
408,RANGER,Cyprus,209696000,Container Ship,3102,9288,2005,North Sea
409,M/V ENNY,Denmark,219164000,General Cargo,1204,3750,1980,Kattegat
410,NAVIGATOR MAGELLAN,Liberia,636015937,Lpg Tanker,4134,23292,1998,English Channel
411,KERTU,Malta,256956000,General Cargo,1515,4800,2005,Gulf of Finland
412,WO SHUN,Sierra Leone,667001839,Oil Products Tanker,1545,4997,1992,South China Sea
413,ROZA A,Turkey,271001057,Container Ship,4536,19325,1997,Aegean Sea
414,ZEYCAN ANA,Malta,248737000,General Cargo,1952,8500,2010,Mediterranean Sea - Western Basin
415,MAINE EHIME,Marshall Is,538004793,Bulk Carrier,6080,58105,2012,Tasman Sea
416,GENNADY TSYGANKOV,Russia,273355860,General Cargo,2240,9598,1988,Japan Sea
417,EVIA STAR,Greece,237363700,Ro-Ro/Passenger Ship,1305,940,1980,Aegean Sea
418,ABRAMIS,Norway,259582000,Tug,261,156,1982,Norwegian Sea
419,NOC 7,Singapore,563067430,Bunkering Tanker,450,799,2013,Singapore Strait
420,AZOV CONFIDENCE,Marshall Is,538009828,General Cargo,2556,8048,2007,Aegean Sea
421,ROSI,Portugal,255805952,General Cargo,1157,3850,2010,Aegean Sea
422,TOSTE R,Denmark,219000615,Trailing Suction Hopper Dredger,495,632,1992,Baltic Sea
423,KEY SOUTH,Malta,248221000,Oil/Chemical Tanker,1853,6412,2010,Norwegian Sea
424,COMMANDER,Russia,273294580,Offshore Supply Ship,2000,4800,2006,Baltic Sea
425,VEIDNES,Norway,259237000,Fish Carrier,510,650,2002,Barentsz Sea
426,THULELAND,Sweden,266248000,Ro-Ro Cargo,4940,13800,2006,Baltic Sea
427,CITY OF WESTMINSTER,United Kingdom,232000790,Suction Dredger,1683,6604,1990,North Sea
428,SKONNERTEN JYLLAND.,Denmark,220276000,Passengers Ship,186,218,1951,North Sea
429,GLAREA,Denmark,219244000,Suction Dredger,1148,2266,1971,North Sea
430,CHINA TRIUMPH,Hong Kong,477091400,Bulk Carrier,15000,203028,2011,North Pacific Ocean
431,PAVINO,Panama,356161000,Oil/Chemical Tanker,1802,5707,2005,North Sea
432,SILJA SYMPHONY,Sweden,265004000,Ro-Ro/Passenger Ship,6496,5340,1991,Gulf of Finland
433,SCHLESWIG-HOLSTEIN,Germany,211190000,Ro-Ro/Passenger Ship,3384,2904,1997,Baltic Sea
434,NOBLE 1,Comoros,620604000,General Cargo,1472,4500,1981,Aegean Sea
435,OCEAN AQUILA,United Kingdom,232026422,Fish Carrier,420,650,2001,Inner Seas off the West Coast of Scotland
436,QUEEN OF CAPILANO,Canada,316001247,Ro-Ro/Passenger Ship,2112,602,1991,The Coastal Waters of Southeast Alaska and British Columbia
437,FINNSEA,Finland,230618000,Ro-Ro Cargo,5886,11029,2011,Gulf of Finland
438,AURA,USA,367560980,Tug,390,200,2013,Gulf of Mexico
439,ANDREA,Gibraltar,236481000,Container Ship,3082,11285,2005,Skaggerak
440,ARGYLE,United Kingdom,235052541,Ro-Ro/Passenger Ship,1400,452,2007,Inner Seas off the West Coast of Scotland
441,ATLANTIC,Denmark,219252000,Oil Products Tanker,1545,6019,2002,Kattegat
442,BALTIC,Marshall Is,538002073,Oil/Chemical Tanker,4914,37237,2003,Aegean Sea
443,TAIBA,Tanzania,677098300,Livestock Carrier,1680,4193,1978,Aegean Sea
444,POLYBOTES,Belgium,205396000,Inland Ro-Ro Cargo Ship,1320,1150,2004,North Sea
445,PR MAXIMA,Netherlands,244169000,Passengers Ship,629,100,2004,North Sea
446,NORTHERN GENERAL,Liberia,636091381,Container Ship,8448,53870,2008,North Atlantic Ocean
447,ULTRA REGINA,Panama,352057000,Bulk Carrier,6400,61424,2013,Irish Sea and St. George's Channel
448,MERSEY ENDURANCE,United Kingdom,235099933,Inland Tanker,2580,1650,2012,Irish Sea and St. George's Channel
449,CE-HAMILTON,Marshall Is,538008329,Crude Oil Tanker,13152,158769,2009,Aegean Sea
450,DANUBE HIGHWAY,Bahamas,308803000,Vehicles Carrier,3700,7788,2006,Kattegat
451,AGAT N,Russia,273354420,Tug,396,411,2009,Black Sea
452,THUN GEMINI,Netherlands,245610000,Oil/Chemical Tanker,1710,7559,2003,North Atlantic Ocean
453,HAV STREYM,Faroe Is,231251000,General Cargo,1079,3405,1996,North Sea
454,SAXONA,Liberia,636012771,General Cargo,1600,5069,2005,Aegean Sea
455,MV GRAND TAJIMA ONE,Panama,355438000,General Cargo,2520,12922,2006,Gulf of Thailand
456,BREB BALTIYSK,Antigua Barbuda,304407000,General Cargo,1300,4419,2002,Baltic Sea
457,AYANE,Malta,248791000,Oil/Chemical Tanker,3312,16971,2010,Rio de La Plata
458,ORO,Denmark,219003141,Vehicles Carrier,420,125,2003,Kattegat
459,PETER MADSEN,Denmark,219001262,Grab Dredger,264,183,1968,Kattegat
460,FYNSHAV,Denmark,219000577,Ro-Ro/Passenger Ship,1104,489,1998,Kattegat
461,CELANDINE,Malta,249436000,Ro-Ro Cargo,4050,9415,2000,North Sea
462,ISOLA DI S. PIETRO,Italy,247097500,Passengers Ship,322,35,1992,Tyrrhenian Sea
463,ZENITH VOLOU,Greece,239945800,General Cargo,693,1591,1983,Aegean Sea
464,FINNSKY,Finland,230622000,Ro-Ro Cargo,5668,11029,2012,Skaggerak
465,ILOVIK,Croatia,238796840,Ro-Ro/Passenger Ship,1728,1030,2006,Adriatic Sea
466,FINNSEA,Finland,230618000,Ro-Ro Cargo,5886,11029,2011,Gulf of Finland
467,ARACARI ARROW,Bahamas,311044300,General Cargo,6200,46956,1992,North Atlantic Ocean
468,TRICA,Netherlands,244912000,Ro-Ro Cargo,5330,18250,2007,Gulf of Finland
469,SURATCHANYA,Thailand,567059800,Oil Products Tanker,1105,3367,1993,Gulf of Thailand
470,STAVANGERFJORD,Norway,259386000,Ro-Ro/Passenger Ship,2451,1025,2007,North Sea
471,MTT TAWAU,Malaysia,533130926,Container Ship,4890,14099,1997,Singapore Strait
472,DELAWARE EXPRESS,USA,367422000,Container Ship,12240,85517,2008,North Sea
473,MSC JOY,Panama,356037000,Container Ship,6262,31160,1992,North Sea
474,HACI RUSTU K,Turkey,271002018,General Cargo,1040,2970,1987,Sea of Marmara
475,NORDIC APOLLO,Marshall Is,538001820,Crude Oil Tanker,13152,159988,2003,Gulf of Oman
476,BBC CHALLENGER,Antigua Barbuda,305315000,General Cargo,2628,11200,2008,Persian Gulf
477,DREAM DIAMOND,Panama,372290000,Vehicles Carrier,5208,15069,2007,North Pacific Ocean
478,MAI LEHMANN,Antigua Barbuda,305804000,General Cargo,1260,4135,1999,Kattegat
479,FAIRPLAY 24,Antigua Barbuda,305440000,Tug,385,317,1998,North Sea
480,DIAMANTGRACHT,Netherlands,244142000,General Cargo,3611,17966,2009,Ionian Sea
481,PERSEUS,Latvia,275524000,Container Ship,2394,7594,1995,North Sea
482,OKYROE,Marshall Is,538002621,Crude Oil Tanker,7296,74999,2004,Kattegat
483,ENERGETIC,Singapore,566007000,Oil Products Tanker,1615,6500,2011,Singapore Strait
484,BBC NILE,Antigua Barbuda,305682000,General Cargo,3289,16991,2011,Aegean Sea
485,ILOVIK,Croatia,238796840,Ro-Ro/Passenger Ship,1728,1030,2006,Adriatic Sea
486,WOLF,Germany,218767000,Tug,256,180,1993,North Sea
487,MAERSK NIAGARA,Hong Kong,477170400,Container Ship,6300,33434,2008,North Atlantic Ocean
488,VB NORA,Senegal,663076000,Tug,300,107,2002,North Atlantic Ocean
489,BEKS SWAN,Marshall Is,538009800,Crude Oil Tanker,10290,108929,2009,Gulf of Oman
490,GENERAL ASLANOV,Azerbaijan,423035100,General Cargo,1712,5499,2005,Ionian Sea
491,THOR R,Denmark,219573000,Trailing Suction Hopper Dredger,1176,2087,1984,Baltic Sea
492,ZINGST,Germany,211228710,Trailing Suction Hopper Dredger,780,1781,1995,Baltic Sea
493,FEDERAL SHIMANTO,Marshall Is,538004244,Bulk Carrier,4370,32787,2001,Baltic Sea
494,SARNIA LIBERTY,Gibraltar,236399000,Oil Products Tanker,1280,3515,2008,North Sea
495,HAKATA VOYAGER,Korea,441973000,Container Ship,2580,8217,2005,Japan Sea
496,EUROPALINK,Finland,230699000,Ro-Ro/Passenger Ship,6420,9653,2007,Gulf of Bothnia
497,HALTBAKK BUNKER,Sweden,266225000,Oil Products Tanker,400,400,1987,Norwegian Sea
498,BOKA ATLANTIS,Marshall Is,538003646,Diving Support Vessel,2552,5662,2011,North Sea
499,ANNA,Korea,441405000,General Cargo,1134,3331,2006,Yellow Sea
500,SEASPAN HANNOVER,Hong Kong,477302200,Container Ship,5796,33742,2006,South Pacific Ocean
501,SOVEREIGN,USA,367546770,Offshore Supply Ship,612,1200,1980,The Coastal Waters of Southeast Alaska and British Columbia
502,SD REBEL,Malta,229097000,Tug,280,629,2012,North Sea
503,VB LLEVANT,Spain,225437000,Tug,341,300,2011,Balearic Sea
504,SAFEEN PEARL,UAE,470192000,Container Ship,3197,11768,2011,Persian Gulf
505,MARS SUN,Liberia,636016505,Crude Oil Tanker,10248,115536,2006,Black Sea
506,SILJA SYMPHONY,Sweden,265004000,Ro-Ro/Passenger Ship,6496,5340,1991,Gulf of Finland
507,DANCING WATER,Netherlands,246683000,Tug,114,68,1993,North Sea
508,WADDEN 2,Cyprus,209099000,Motor Hopper,660,1536,1980,Baltic Sea
509,COLOMBIAN STAR,Liberia,636014240,Reefer,4440,10371,1998,North Sea
510,QI HANG,Sierra Leone,667001761,General Cargo,1105,3720,1991,Philippine Sea
511,SVITZER NEWSTEAD,Australia,503194600,Tug,220,150,2007,Coral Sea
512,OCEAN AQUILA,United Kingdom,232026422,Fish Carrier,420,650,2001,Inner Seas off the West Coast of Scotland
513,KAYE E MORAN,USA,366920510,Tug,234,136,2003,North Atlantic Ocean
514,CHRISTINA,Liberia,636091866,General Cargo,1596,6050,2009,North Sea
515,ZINGST,Germany,211228710,Trailing Suction Hopper Dredger,780,1781,1995,Baltic Sea
516,ATLANTIC BEAVER,Canada,316012539,Tug,360,190,2008,North Atlantic Ocean
517,SMART RISING,Panama,370335000,General Cargo,1600,6053,2009,North Pacific Ocean
518,AIAKOS,Greece,237592700,Ro-Ro/Passenger Ship,1394,717,2002,Aegean Sea
519,FRISIA IV,Germany,211364460,Ro-Ro/Passenger Ship,994,326,2002,North Sea
520,ARCHON MICHAEL,Palau,511100571,General Cargo,1040,1600,1979,Aegean Sea
521,RAMFORM VANGUARD,Norway,257773000,Research/Survey Vessel,3400,5200,1999,Aegean Sea
522,PULPCA,Netherlands,245097000,Ro-Ro Cargo,5330,18250,2008,Baltic Sea
523,STENA NAUTICA,Sweden,265859000,Ro-Ro/Passenger Ship,3264,3676,1986,Kattegat
524,FINNMERCHANT,Finland,230650000,Ro-Ro Cargo,5018,13274,2003,Baltic Sea
525,NILS DACKE,Cyprus,212499000,Ro-Ro/Passenger Ship,5012,6538,1995,Baltic Sea
526,GENNADY TSYGANKOV,Russia,273355860,General Cargo,2240,9598,1988,Japan Sea
527,LA SUPERBA,Italy,247056100,Ro-Ro/Passenger Ship,6510,9750,2002,Tyrrhenian Sea
528,ENERGETIC,Singapore,566007000,Oil Products Tanker,1615,6500,2011,Singapore Strait
529,JOY M,Panama,353312000,Bulk Carrier,2880,13759,1993,Tyrrhenian Sea
530,MAI LEHMANN,Antigua Barbuda,305804000,General Cargo,1260,4135,1999,Kattegat
531,LUCA IEVOLI,Italy,247069600,Oil/Chemical Tanker,1500,5207,2002,Ionian Sea
532,ARGONAUT,Denmark,219461000,Suction Dredger,963,600,1960,Kattegat
533,MSC QINGDAO,Liberia,636019331,Container Ship,13889,99600,2004,Ionian Sea
534,FICARIA SEAWAYS,Denmark,220464000,Ro-Ro Cargo,6930,14300,2006,North Sea
535,WOLF,Germany,218767000,Tug,256,180,1993,North Sea
536,LYRIKA,Lithuania,277344000,General Cargo,1068,2350,1994,Kattegat
537,DEE FISHER,Gibraltar,236445000,Oil/Chemical Tanker,1500,4653,2006,North Sea
538,PRESTIGIOUS,Marshall Is,538007608,Oil Products Tanker,7328,72908,2003,Gulf of Oman
539,MSC CAROUGE,Portugal,255805617,Container Ship,11320,47350,2007,English Channel
540,STENA  FLAVIA,Denmark,219560000,Ro-Ro/Passenger Ship,4650,7000,2008,Baltic Sea
541,EPIDAMN II,Albania,201100182,Tug,290,143,1988,Adriatic Sea
542,ILOVIK,Croatia,238796840,Ro-Ro/Passenger Ship,1728,1030,2006,Adriatic Sea
543,CHARA,Russia,273441770,General Cargo,2023,6553,1978,Japan Sea
544,SVETI MARKO,Croatia,238085840,Tug,280,145,2007,Adriatic Sea
545,AIAKOS,Greece,237592700,Ro-Ro/Passenger Ship,1394,717,2002,Aegean Sea
546,NILS DACKE,Cyprus,212499000,Ro-Ro/Passenger Ship,5012,6538,1995,Baltic Sea
547,ARCHON MICHAEL,Palau,511100571,General Cargo,1040,1600,1979,Aegean Sea
548,MARGARETE SCHULTE,Malta,249837000,Container Ship,6300,34457,2006,North Sea
549,CITY OF WESTMINSTER,United Kingdom,232000790,Suction Dredger,1683,6604,1990,North Sea
550,FINNSEA,Finland,230618000,Ro-Ro Cargo,5886,11029,2011,Gulf of Finland
551,OBERON,Sweden,266283000,Vehicles Carrier,7424,30134,2008,North Sea
552,SUSANNE THERESA,Denmark,220447000,Oil/Chemical Tanker,1302,3464,2006,North Sea
553,STOLT SHEARWATER,Cayman Is,319402000,Oil/Chemical Tanker,1536,5498,1998,North Sea
554,PUTFORD VIKING,United Kingdom,232003319,Standby Safety Vessel,840,2069,1976,North Sea
555,HNLMS LUYMES,Netherlands,245939000,Naval Research Vessel,1148,825,2004,North Sea
556,SMART RISING,Panama,370335000,General Cargo,1600,6053,2009,North Pacific Ocean
557,MAI LEHMANN,Antigua Barbuda,305804000,General Cargo,1260,4135,1999,Kattegat
558,DEE FISHER,Gibraltar,236445000,Oil/Chemical Tanker,1500,4653,2006,North Sea
559,ENERGETIC,Singapore,566007000,Oil Products Tanker,1615,6500,2011,Singapore Strait
560,ESTRADEN,Finland,230917000,Ro-Ro Cargo,4238,9741,1999,North Sea
561,DIAMANTGRACHT,Netherlands,244142000,General Cargo,3611,17966,2009,Ionian Sea
562,SOUND SOLUTION,Gibraltar,236111925,Utility Vessel,250,172,2009,Baltic Sea
563,ARGONAUT,Denmark,219461000,Suction Dredger,963,600,1960,Kattegat
564,MSC CAROUGE,Portugal,255805617,Container Ship,11320,47350,2007,English Channel
565,STENA  FLAVIA,Denmark,219560000,Ro-Ro/Passenger Ship,4650,7000,2008,Baltic Sea
566,PRESTIGIOUS,Marshall Is,538007608,Oil Products Tanker,7328,72908,2003,Gulf of Oman
567,HOKUYO MARU,Japan,431501083,Limestone Carrier,2460,10750,1998,North Pacific Ocean
568,GNV AZZURRA,Italy,247237700,Ro-Ro/Passenger Ship,4563,3630,1981,Ionian Sea
569,IBAIZABAL OCHO,Spain,224640870,Tug,360,413,2010,Bay of Biscay
570,BETTY K VIII,Cook Is,518630000,General Cargo,1001,1492,1984,North Atlantic Ocean
571,COASTAL CHARIOT,Netherlands,244770069,Work Vessel,396,247,2014,Baltic Sea
572,WOLF,Germany,218767000,Tug,256,180,1993,North Sea
573,SOVEREIGN,USA,367546770,Offshore Supply Ship,612,1200,1980,The Coastal Waters of Southeast Alaska and British Columbia
574,GRANDE DETROIT,Italy,247186300,Vehicles Carrier,5456,12420,2005,North Sea
575,MV GRAND TAJIMA ONE,Panama,355438000,General Cargo,2520,12922,2006,Gulf of Thailand
576,CELTIC WARRIOR,United Kingdom,235108405,General Cargo,1260,4123,1996,Kattegat
577,HERMES,Greece,240391000,Tug,243,183,1993,Ionian Sea
578,FICARIA SEAWAYS,Denmark,220464000,Ro-Ro Cargo,6930,14300,2006,North Sea
579,SYN ZUBE,Italy,247235100,Lpg Tanker,1400,4027,2008,North Sea
580,NORDNES,Netherlands,244962000,Pipe Burying Vessel,4316,25063,2001,North Sea
581,WILSON SAGA,Norway,257077520,General Cargo,1695,6489,1998,North Sea
582,HARUN,Cyprus,209531000,General Cargo,1554,6000,2008,North Sea
583,BILLEFJORD,Faroe Is,231219000,Passengers Ship,280,114,1986,Norwegian Sea
584,BETTY K VIII,Cook Is,518630000,General Cargo,1001,1492,1984,North Atlantic Ocean
585,EN AVANT 20,Netherlands,244790685,Tug,384,254,2007,North Sea
586,EEMS-DART,Gibraltar,236453000,General Cargo,1068,3725,2002,North Sea
587,SEATRUCK POWER,United Kingdom,235090183,Ro-Ro Cargo,3692,5300,2012,Irish Sea and St. George's Channel
588,WARNOW CHIEF,Cyprus,209138000,Container Ship,4500,21191,2009,Coral Sea
589,WILD PEONY,Bahamas,311000804,Reefer,3300,10110,1998,Skaggerak
590,POLAN,Panama,373888000,Crude Oil Tanker,8288,76020,1999,Persian Gulf
591,EM HYDRA,Liberia,636014956,Container Ship,4698,23679,2005,North Atlantic Ocean
592,MILA,Moldova,214182784,General Cargo,1482,4361,1972,Sea of Marmara
593,AYER MANIS,Singapore,563001270,Water Tanker,387,499,1993,Singapore Strait
594,DEUTSCHLAND,Germany,211188000,Ro-Ro/Passenger Ship,3384,2904,1997,Baltic Sea
595,TAYEB 1,Morocco,242134100,Tug,208,110,2013,North Atlantic Ocean
596,LADY OF CHICHESTER,Malta,249127000,Suction Dredger,720,1726,1970,North Sea
597,TUZLA,Vanuatu,577537000,General Cargo,1204,3943,1980,Sea of Marmara
598,SHARON M I,Canada,316024256,Tug,385,359,1994,North Atlantic Ocean
599,STAVANGERFJORD,Norway,259386000,Ro-Ro/Passenger Ship,2451,1025,2007,North Sea
600,SJERNAROY,Norway,259593000,Ro-Ro/Passenger Ship,910,405,1999,North Sea
601,LA SUPERBA,Italy,247056100,Ro-Ro/Passenger Ship,6510,9750,2002,Tyrrhenian Sea
602,GLOBAL MERMAID,Panama,370295000,Bulk Carrier,5133,33738,2010,Tasman Sea
603,NORNE,Norway,258763000,General Cargo,1410,4818,1996,Kattegat
